DateOccured,Year,Month,Day
2021-10-11,2021,10,11
2020-08-05,2020,8,5
2021-10-02,2021,10,2
2023-11-08,2023,11,8
2022-08-02,2022,8,2
2020-10-04,2020,10,4
2021-05-12,2021,5,12
2020-03-07,2020,3,7
2022-06-06,2022,6,6
2023-02-08,2023,2,8
2020-02-04,2020,2,4
2021-09-11,2021,9,11
2022-07-07,2022,7,7
2021-12-05,2021,12,5
2023-03-12,2023,3,12
2022-04-02,2022,4,2
2022-12-09,2022,12,9
2022-03-12,2022,3,12
2022-04-10,2022,4,10
2022-12-02,2022,12,2
2021-10-08,2021,10,8
2020-02-12,2020,2,12
2021-05-03,2021,5,3
2023-01-01,2023,1,1
2023-05-03,2023,5,3
2021-02-02,2021,2,2
2022-08-11,2022,8,11
2021-07-10,2021,7,10
2020-09-07,2020,9,7
2023-09-03,2023,9,3
2020-05-08,2020,5,8
2023-10-12,2023,10,12
2022-05-01,2022,5,1
2021-11-11,2021,11,11
2021-06-04,2021,6,4
2021-03-07,2021,3,7
2021-09-05,2021,9,5
2020-06-04,2020,6,4
2023-08-10,2023,8,10
2022-01-09,2022,1,9
2023-06-01,2023,6,1
2022-12-11,2022,12,11
2021-11-01,2021,11,1
2022-05-07,2022,5,7
2022-12-12,2022,12,12
2022-09-07,2022,9,7
2022-09-06,2022,9,6
2021-09-09,2021,9,9
2023-11-04,2023,11,4
2023-03-04,2023,3,4
2022-02-01,2022,2,1
2022-07-05,2022,7,5
2021-07-11,2021,7,11
2021-05-07,2021,5,7
2022-04-12,2022,4,12
2020-05-10,2020,5,10
2023-07-04,2023,7,4
2022-06-02,2022,6,2
2021-09-06,2021,9,6
2022-06-05,2022,6,5
2020-11-06,2020,11,6
2022-08-03,2022,8,3
2020-07-05,2020,7,5
2020-03-09,2020,3,9
2021-07-08,2021,7,8
2023-08-03,2023,8,3
2020-03-10,2020,3,10
2020-10-05,2020,10,5
2022-08-07,2022,8,7
2020-03-11,2020,3,11
2022-08-08,2022,8,8
2022-01-10,2022,1,10
2021-04-07,2021,4,7
2020-06-05,2020,6,5
2021-06-01,2021,6,1
2023-08-06,2023,8,6
2023-01-02,2023,1,2
2022-10-11,2022,10,11
2020-09-04,2020,9,4
2020-08-04,2020,8,4
2023-05-09,2023,5,9
2022-01-08,2022,1,8
2022-04-09,2022,4,9
2022-11-01,2022,11,1
2021-12-10,2021,12,10
2020-02-11,2020,2,11
2022-04-06,2022,4,6
2020-07-02,2020,7,2
2022-05-06,2022,5,6
2020-08-09,2020,8,9
2020-06-12,2020,6,12
2023-06-07,2023,6,7
2023-11-05,2023,11,5
2023-04-12,2023,4,12
2021-12-12,2021,12,12
2021-12-04,2021,12,4
2023-06-12,2023,6,12
2022-12-08,2022,12,8
2021-12-08,2021,12,8
2021-05-09,2021,5,9
2021-08-12,2021,8,12
2021-01-05,2021,1,5
2023-04-01,2023,4,1
2022-08-12,2022,8,12
2022-03-11,2022,3,11
2022-07-10,2022,7,10
2020-07-03,2020,7,3
2023-01-11,2023,1,11
2022-12-06,2022,12,6
2020-12-12,2020,12,12
2020-12-09,2020,12,9
2020-08-07,2020,8,7
2020-02-09,2020,2,9
2023-10-06,2023,10,6
2022-10-06,2022,10,6
2021-07-03,2021,7,3
2023-09-12,2023,9,12
2022-07-01,2022,7,1
2022-11-10,2022,11,10
2021-09-10,2021,9,10
2023-04-09,2023,4,9
2022-02-12,2022,2,12
2021-05-10,2021,5,10
2021-11-05,2021,11,5
2023-09-08,2023,9,8
2020-11-09,2020,11,9
2021-08-01,2021,8,1
2021-12-01,2021,12,1
2020-09-03,2020,9,3
2021-02-05,2021,2,5
2022-12-05,2022,12,5
2020-04-06,2020,4,6
2022-05-02,2022,5,2
2022-08-05,2022,8,5
2022-12-10,2022,12,10
2021-02-10,2021,2,10
2022-12-04,2022,12,4
2023-07-07,2023,7,7
2023-02-01,2023,2,1
2022-08-10,2022,8,10
2021-10-05,2021,10,5
2020-06-10,2020,6,10
2020-07-12,2020,7,12
2023-09-01,2023,9,1
2023-04-04,2023,4,4
2022-09-09,2022,9,9
2021-08-03,2021,8,3
2020-05-06,2020,5,6
2021-07-02,2021,7,2
2021-02-01,2021,2,1
2020-01-10,2020,1,10
2020-03-03,2020,3,3
2020-11-05,2020,11,5
2023-04-06,2023,4,6
2022-02-10,2022,2,10
2022-02-06,2022,2,6
2021-02-06,2021,2,6
2021-03-12,2021,3,12
2023-05-02,2023,5,2
2022-02-04,2022,2,4
2023-04-10,2023,4,10
2020-10-09,2020,10,9
2021-11-07,2021,11,7
2020-11-10,2020,11,10
2020-04-09,2020,4,9
2022-06-03,2022,6,3
2022-03-09,2022,3,9
2021-07-01,2021,7,1
2023-07-12,2023,7,12
2023-09-10,2023,9,10
2020-08-12,2020,8,12
2021-06-02,2021,6,2
2023-06-11,2023,6,11
2023-01-12,2023,1,12
2023-04-11,2023,4,11
2022-02-07,2022,2,7
2022-10-07,2022,10,7
2020-11-01,2020,11,1
2020-03-06,2020,3,6
2020-05-09,2020,5,9
2020-03-05,2020,3,5
2020-10-06,2020,10,6
2021-03-09,2021,3,9
2020-09-01,2020,9,1
2023-04-02,2023,4,2
2021-09-12,2021,9,12
2020-11-02,2020,11,2
2021-03-10,2021,3,10
2022-09-12,2022,9,12
2020-09-09,2020,9,9
2021-09-04,2021,9,4
2022-08-06,2022,8,6
2023-07-10,2023,7,10
2023-06-05,2023,6,5
2022-02-03,2022,2,3
2022-09-05,2022,9,5
2022-01-06,2022,1,6
2023-10-08,2023,10,8
2023-02-10,2023,2,10
2020-01-04,2020,1,4
2020-05-12,2020,5,12
2021-06-08,2021,6,8
2022-03-01,2022,3,1
2020-12-03,2020,12,3
2021-09-03,2021,9,3
2020-02-01,2020,2,1
2020-09-06,2020,9,6
2021-04-04,2021,4,4
2023-02-05,2023,2,5
2020-12-10,2020,12,10
2023-05-01,2023,5,1
2022-11-04,2022,11,4
2022-07-11,2022,7,11
2021-03-02,2021,3,2
2023-09-05,2023,9,5
2023-07-02,2023,7,2
2023-06-04,2023,6,4
2020-03-02,2020,3,2
2021-04-11,2021,4,11
2022-10-08,2022,10,8
2022-10-05,2022,10,5
2020-01-11,2020,1,11
2020-12-02,2020,12,2
2022-11-07,2022,11,7
2021-07-04,2021,7,4
2023-02-06,2023,2,6
2023-01-05,2023,1,5
2021-10-10,2021,10,10
2021-11-10,2021,11,10
2023-08-01,2023,8,1
2020-10-12,2020,10,12
2023-02-02,2023,2,2
2022-06-12,2022,6,12
2020-06-09,2020,6,9
2022-07-02,2022,7,2
2022-03-07,2022,3,7
2020-01-03,2020,1,3
2020-01-07,2020,1,7
2020-02-08,2020,2,8
2021-05-04,2021,5,4
2021-03-05,2021,3,5
2022-06-11,2022,6,11
2020-01-05,2020,1,5
2021-08-02,2021,8,2
2020-03-08,2020,3,8
2020-05-04,2020,5,4
2022-06-07,2022,6,7
2021-11-08,2021,11,8
2021-01-09,2021,1,9
2023-05-10,2023,5,10
2022-05-05,2022,5,5
2020-04-03,2020,4,3
2023-02-11,2023,2,11
2022-07-03,2022,7,3
2022-07-08,2022,7,8
2021-10-03,2021,10,3
2023-05-12,2023,5,12
2022-10-10,2022,10,10
2021-12-11,2021,12,11
2021-01-01,2021,1,1
2021-03-08,2021,3,8
2020-11-04,2020,11,4
2022-09-01,2022,9,1
2022-03-08,2022,3,8
2020-09-11,2020,9,11
2021-04-06,2021,4,6
2022-11-03,2022,11,3
2022-01-03,2022,1,3
2020-01-06,2020,1,6
2020-05-11,2020,5,11
2021-02-08,2021,2,8
2020-09-05,2020,9,5
2022-02-08,2022,2,8
2022-07-04,2022,7,4
2021-09-07,2021,9,7
2021-12-03,2021,12,3
2021-05-06,2021,5,6
2020-06-07,2020,6,7
2021-02-09,2021,2,9
2020-05-02,2020,5,2
2021-02-11,2021,2,11
2023-10-09,2023,10,9
2021-06-09,2021,6,9
2020-02-10,2020,2,10
2021-11-02,2021,11,2
2022-09-02,2022,9,2
2022-11-11,2022,11,11
2023-05-11,2023,5,11
2023-02-04,2023,2,4
2023-02-09,2023,2,9
2023-09-07,2023,9,7
2020-07-07,2020,7,7
2022-10-04,2022,10,4
2022-02-09,2022,2,9
2021-10-06,2021,10,6
2020-07-11,2020,7,11
2023-01-03,2023,1,3
2022-08-01,2022,8,1
2021-08-11,2021,8,11
2023-07-03,2023,7,3
2023-05-08,2023,5,8
2022-06-09,2022,6,9
2022-04-11,2022,4,11
2020-08-01,2020,8,1
2023-06-03,2023,6,3
2022-08-09,2022,8,9
2022-12-03,2022,12,3
2021-10-04,2021,10,4
2020-08-11,2020,8,11
2020-05-05,2020,5,5
2020-02-05,2020,2,5
2021-01-07,2021,1,7
2021-04-08,2021,4,8
2020-07-10,2020,7,10
2021-10-09,2021,10,9
2023-07-09,2023,7,9
2020-04-07,2020,4,7
2023-04-03,2023,4,3
2023-03-05,2023,3,5
2022-01-07,2022,1,7
2020-08-10,2020,8,10
2020-12-04,2020,12,4
2020-08-08,2020,8,8
2022-09-10,2022,9,10
2023-06-02,2023,6,2
2020-10-03,2020,10,3
2020-06-06,2020,6,6
2021-05-08,2021,5,8
2023-04-08,2023,4,8
2023-03-09,2023,3,9
2020-09-08,2020,9,8
2020-06-08,2020,6,8
2023-01-06,2023,1,6
2022-04-07,2022,4,7
2022-12-07,2022,12,7
2023-07-11,2023,7,11
2022-05-10,2022,5,10
2022-11-09,2022,11,9
2022-05-12,2022,5,12
2022-07-09,2022,7,9
2020-02-06,2020,2,6
2020-03-12,2020,3,12
2020-07-08,2020,7,8
2020-04-04,2020,4,4
2020-05-03,2020,5,3
2021-01-03,2021,1,3
2020-11-03,2020,11,3
2020-08-02,2020,8,2
2021-08-04,2021,8,4
2022-02-05,2022,2,5
2022-01-04,2022,1,4
2021-04-03,2021,4,3
2023-08-05,2023,8,5
2020-01-12,2020,1,12
2021-07-07,2021,7,7
2023-05-06,2023,5,6
2021-08-10,2021,8,10
2020-05-01,2020,5,1
2023-03-01,2023,3,1
2022-11-12,2022,11,12
2023-11-12,2023,11,12
2023-09-02,2023,9,2
2022-06-08,2022,6,8
2020-12-01,2020,12,1
2023-10-05,2023,10,5
2023-02-07,2023,2,7
2022-10-03,2022,10,3
2022-06-10,2022,6,10
2021-01-04,2021,1,4
2021-10-12,2021,10,12
2023-10-02,2023,10,2
2023-11-10,2023,11,10
2020-03-01,2020,3,1
2020-11-11,2020,11,11
2023-06-10,2023,6,10
2022-03-06,2022,3,6
2021-11-09,2021,11,9
2021-12-07,2021,12,7
2021-07-09,2021,7,9
2021-04-02,2021,4,2
2023-05-04,2023,5,4
2022-09-03,2022,9,3
2021-07-12,2021,7,12
2020-04-10,2020,4,10
2020-04-01,2020,4,1
2023-02-12,2023,2,12
2021-08-08,2021,8,8
2021-06-07,2021,6,7
2021-03-01,2021,3,1
2023-01-04,2023,1,4
2023-08-04,2023,8,4
2022-05-11,2022,5,11
2020-07-01,2020,7,1
2020-11-08,2020,11,8
2020-06-11,2020,6,11
2020-09-12,2020,9,12
2022-10-12,2022,10,12
2023-07-06,2023,7,6
2023-09-04,2023,9,4
2023-07-05,2023,7,5
2022-10-01,2022,10,1
2023-10-03,2023,10,3
2023-07-08,2023,7,8
2021-06-06,2021,6,6
2022-03-10,2022,3,10
2022-05-09,2022,5,9
2023-05-05,2023,5,5
2020-11-12,2020,11,12
2023-06-06,2023,6,6
2023-11-03,2023,11,3
2020-12-08,2020,12,8
2023-08-09,2023,8,9
2023-01-07,2023,1,7
2022-11-06,2022,11,6
2020-01-02,2020,1,2
2023-11-09,2023,11,9
2021-06-11,2021,6,11
2020-10-08,2020,10,8
2021-08-06,2021,8,6
2022-04-08,2022,4,8
2020-01-09,2020,1,9
2021-01-10,2021,1,10
2022-11-08,2022,11,8
2022-10-09,2022,10,9
2021-10-01,2021,10,1
2020-10-07,2020,10,7
2023-07-01,2023,7,1
2020-05-07,2020,5,7
2022-01-05,2022,1,5
2020-10-02,2020,10,2
2022-08-04,2022,8,4
2021-12-02,2021,12,2
2023-11-07,2023,11,7
2020-04-12,2020,4,12
2020-08-03,2020,8,3
2023-11-01,2023,11,1
2022-04-01,2022,4,1
2020-10-10,2020,10,10
2023-03-08,2023,3,8
2022-12-01,2022,12,1
2020-06-03,2020,6,3
2020-12-06,2020,12,6
2023-03-11,2023,3,11
2021-08-07,2021,8,7
2023-03-10,2023,3,10
2022-09-11,2022,9,11
2021-02-12,2021,2,12
2023-10-11,2023,10,11
2020-10-11,2020,10,11
2023-04-05,2023,4,5
2022-03-03,2022,3,3
2022-05-08,2022,5,8
2023-10-01,2023,10,1
2023-08-08,2023,8,8
2023-02-03,2023,2,3
2023-03-07,2023,3,7
2022-04-04,2022,4,4
2022-05-04,2022,5,4
2020-07-04,2020,7,4
2021-06-12,2021,6,12
2021-01-11,2021,1,11
2023-11-06,2023,11,6
2022-03-04,2022,3,4
2022-11-05,2022,11,5
2021-02-03,2021,2,3
2023-03-03,2023,3,3
2022-11-02,2022,11,2
2023-05-07,2023,5,7
2022-01-12,2022,1,12
2020-01-01,2020,1,1
2020-03-04,2020,3,4
2022-02-02,2022,2,2
2021-11-12,2021,11,12
2021-09-01,2021,9,1
2021-01-08,2021,1,8
2023-09-09,2023,9,9
2020-04-05,2020,4,5
2021-01-12,2021,1,12
2021-03-06,2021,3,6
2021-06-10,2021,6,10
2021-01-02,2021,1,2
2021-05-02,2021,5,2
2023-08-12,2023,8,12
2022-03-02,2022,3,2
2022-01-01,2022,1,1
2022-07-06,2022,7,6
2023-01-09,2023,1,9
2020-04-08,2020,4,8
2020-02-02,2020,2,2
2021-06-05,2021,6,5
2022-04-05,2022,4,5
2020-07-09,2020,7,9
2021-11-04,2021,11,4
2022-09-04,2022,9,4
2023-04-07,2023,4,7
2023-08-11,2023,8,11
2021-03-04,2021,3,4
2022-07-12,2022,7,12
2020-04-02,2020,4,2
2023-08-07,2023,8,7
2023-11-02,2023,11,2
2020-07-06,2020,7,6
2020-10-01,2020,10,1
2020-04-11,2020,4,11
2022-06-04,2022,6,4
2020-01-08,2020,1,8
2021-11-03,2021,11,3
2021-07-05,2021,7,5
2020-11-07,2020,11,7
2021-12-09,2021,12,9
2021-05-05,2021,5,5
2022-02-11,2022,2,11
2021-07-06,2021,7,6
2023-10-07,2023,10,7
2023-01-10,2023,1,10
2021-03-03,2021,3,3
2022-06-01,2022,6,1
2021-04-01,2021,4,1
2021-04-09,2021,4,9
2021-09-02,2021,9,2
2021-04-05,2021,4,5
2021-12-06,2021,12,6
2020-02-03,2020,2,3
2023-11-11,2023,11,11
2022-09-08,2022,9,8
2022-01-11,2022,1,11
2020-06-02,2020,6,2
2021-02-07,2021,2,7
2021-05-11,2021,5,11
2020-12-07,2020,12,7
2020-02-07,2020,2,7
2021-06-03,2021,6,3
2023-01-08,2023,1,8
2021-05-01,2021,5,1
2021-08-05,2021,8,5
2021-10-07,2021,10,7
2023-08-02,2023,8,2
2020-12-05,2020,12,5
2021-11-06,2021,11,6
2022-01-02,2022,1,2
2021-09-08,2021,9,8
2020-09-10,2020,9,10
2023-10-10,2023,10,10
2023-09-06,2023,9,6
2022-04-03,2022,4,3
2020-12-11,2020,12,11
2023-06-08,2023,6,8
2021-08-09,2021,8,9
2023-10-04,2023,10,4
2020-09-02,2020,9,2
2021-01-06,2021,1,6
2021-03-11,2021,3,11
2020-06-01,2020,6,1
2021-02-04,2021,2,4
2023-03-06,2023,3,6
2022-10-02,2022,10,2
2020-08-06,2020,8,6
2022-05-03,2022,5,3
2023-09-11,2023,9,11
2023-03-02,2023,3,2
2022-03-05,2022,3,5
2021-04-12,2021,4,12
2021-04-10,2021,4,10
2023-06-09,2023,6,9
